,Angles,Moments
0,0.0,6.780195595012854e-16
1,0.019198621771937627,-0.0027910162079430832
2,0.038397243543875255,0.006812208743341331
3,0.05759586531581287,0.01984624350095799
4,0.07679448708775051,0.02196014862717617
5,0.09599310885968812,0.02433034605261645
6,0.11519173063162574,0.033307079968295766
7,0.1343903524035634,0.02672895601966101
8,0.15358897417550102,0.0315466575014238
9,0.17278759594743864,0.03742631333247943
10,0.19198621771937624,0.04409293680892352
11,0.2111848394913139,0.04649504547236804
12,0.2303834612632515,0.05412901286229803
13,0.24958208303518914,0.05801141537368032
14,0.2687807048071268,0.0686050951989022
15,0.2879793265790644,0.07415317544134484
16,0.30717794835100204,0.0802385582405554
17,0.3263765701229397,0.07273462813040807
18,0.3455751918948773,0.07614464332706783
19,0.3647738136668149,0.08226115216127763
20,0.3839724354387525,0.09273262805995183
21,0.40317105721069013,0.10054588551122218
22,0.4223696789826278,0.10750551664857613
23,0.44156830075456543,0.09629585063142052
24,0.460766922526503,0.10526484227297139
25,0.4799655442984406,0.11806238414537062
26,0.4991641660703783,0.1248310395139142
27,0.5183627878423159,0.11387305506891171
28,0.5375614096142536,0.12767161188925352
29,0.5567600313861912,0.13713161352707107
30,0.5759586531581288,0.14685982872970577
31,0.5951572749300664,0.13664952512862627
32,0.6143558967020041,0.14883018419588528
33,0.6335545184739417,0.16078435224188425
34,0.6527531402458794,0.16953595610592578
35,0.6719517620178169,0.18492646905362725
36,0.6911503837897546,0.1970240467586782
37,0.7103490055616922,0.2081685832640064
38,0.7295476273336298,0.21986473285761496
39,0.7487462491055674,0.22801474182992068
40,0.767944870877505,0.23632195561711508
41,0.7871434926494426,0.252984625843662
42,0.8063421144213803,0.26511238622472655
43,0.8255407361933179,0.27262832971476036
44,0.8447393579652556,0.27885803868980474
45,0.8639379797371932,0.2857021483418896
46,0.8831366015091309,0.29165876871778906
47,0.9023352232810685,0.29489855101261453
48,0.921533845053006,0.298223614819122
49,0.9407324668249436,0.3000067053870539
50,0.9599310885968813,0.30051191892071133
51,0.9791297103688189,0.3036010008078124
52,0.9983283321407566,0.3034669301405651
53,1.0175269539126943,0.30273288741184656
54,1.0367255756846319,0.302616138602527
55,1.0559241974565694,0.3020316767856551
56,1.0751228192285072,0.30074642247870453
57,1.0943214410004447,0.29840884431843273
58,1.1135200627723825,0.29669468186616343
59,1.13271868454432,0.29516162612575936
60,1.1519173063162575,0.2944803155333102
61,1.1711159280881953,0.2927471664488913
62,1.1903145498601329,0.2900870519954455
63,1.2095131716320704,0.28735530471973114
64,1.2287117934040082,0.2849497149143454
65,1.2479104151759457,0.2818742199691911
66,1.2671090369478835,0.2800273683173191
67,1.286307658719821,0.2774216473485367
68,1.3055062804917588,0.27503415142254045
69,1.3247049022636963,0.2716554720795493
70,1.3439035240356338,0.2691869349077337
71,1.3631021458075716,0.26796818924347177
72,1.3823007675795091,0.26427957696388216
73,1.401499389351447,0.26068752445464227
74,1.4206980111233845,0.2587069423405376
75,1.4398966328953218,0.25573402519544797
76,1.4590952546672595,0.2528546436870218
77,1.478293876439197,0.25074130023905566
78,1.4974924982111348,0.2515724980749746
79,1.5166911199830724,0.24675317757333134
80,1.53588974175501,0.24449558216507133
81,1.5550883635269477,0.23884370267212152
82,1.5742869852988852,0.34864562195701465
83,1.593485607070823,0.3383144778813662
84,1.6126842288427605,0.32785863929102627
85,1.6318828506146983,0.31728195995461506
86,1.6510814723866358,0.3109347806540086
87,1.6702800941585736,0.30183682519565624
88,1.6894787159305111,0.2922252467916479
89,1.7086773377024485,0.28497335013716124
90,1.7278759594743864,0.27474683396270455
91,1.7470745812463238,0.26732273833877096
92,1.7662732030182617,0.2584721972887545
93,1.785471824790199,0.24910610216319073
94,1.804670446562137,0.2396627839295522
95,1.8238690683340744,0.23133992762585123
96,1.843067690106012,0.2207002770249622
97,1.8622663118779497,0.211783172964776
98,1.8814649336498872,0.2003615619815422
99,1.9006635554218252,0.19084704963728638
100,1.9198621771937625,0.18263475158834844
101,1.9390607989657005,0.17191251912466207
102,1.9582594207376378,0.16261945293632957
103,1.9774580425095754,0.15267128794413398
104,1.9966566642815131,0.14343187986657552
105,2.015855286053451,0.1323316777976057
106,2.0350539078253886,0.12342980160780512
107,2.054252529597326,0.11108651415779727
108,2.0734511513692637,0.10457069111990686
109,2.0926497731412015,0.09460268838677455
110,2.111848394913139,0.08369649286559744
111,2.1310470166850766,0.07430748823472255
112,2.1502456384570143,0.06161173359720873
113,2.169444260228952,0.05141640662868591
114,2.1886428820008894,0.0435568386647846
115,2.207841503772827,0.034637638512495794
116,2.227040125544765,0.02249391195723549
117,2.2462387473167023,0.014403005550684578
118,2.26543736908864,0.004699787387565102
119,2.2846359908605773,-0.006694719897735402
120,2.303834612632515,-0.01372408356858179
121,2.323033234404453,-0.021810059654870984
122,2.3422318561763906,-0.03865476146720709
123,2.361430477948328,-0.04564900740260941
124,2.3806290997202657,-0.04832658707061244
125,2.399827721492203,-0.06274231577588502
126,2.419026343264141,-0.07448678862738928
127,2.4382249650360786,-0.07904294061416689
128,2.4574235868080163,-0.08954795105069324
129,2.4766222085799536,-0.09428243804900915
130,2.4958208303518914,-0.10550389193156218
131,2.515019452123829,-0.11533955234474658
132,2.534218073895767,-0.11840730141643313
133,2.5534166956677042,-0.12806015568361362
134,2.572615317439642,-0.14162259996804116
135,2.5918139392115793,-0.13891163677244137
136,2.6110125609835175,-0.14833129767295608
137,2.630211182755455,-0.1596616765713824
138,2.6494098045273926,-0.16883303920228546
139,2.66860842629933,-0.16206223366466352
140,2.6878070480712677,-0.1702435060924868
141,2.7070056698432055,-0.1822475445844824
142,2.726204291615143,-0.19278432055358063
143,2.7454029133870805,-0.20130939031663697
144,2.7646015351590183,-0.18615812326093134
145,2.7838001569309556,-0.19201730762616076
146,2.802998778702894,-0.1994856646440289
147,2.822197400474831,-0.20052624586833448
148,2.841396022246769,-0.207775457288757
149,2.860594644018706,-0.21273503807769076
150,2.8797932657906435,-0.215074430590446
151,2.8989918875625813,-0.18227361702579195
152,2.918190509334519,-0.17325483736300118
153,2.9373891311064564,-0.16956430855957727
154,2.956587752878394,-0.1583990715294009
155,2.9757863746503315,-0.15100099363080172
156,2.9949849964222697,-0.12318035510085806
157,3.014183618194207,-0.11155711789094114
158,3.0333822399661448,-0.09082555990682756
159,3.052580861738082,-0.0797816880212491
160,3.07177948351002,-0.05934439909290338
161,3.0909781052819576,-0.04305797083727172
162,3.1101767270538954,-0.027491581007501067
163,3.1293753488258327,0.006709239669494161
